"A","Cal","Cvel","Doxy","Iro","Nit","pH","Pho","Sal","Sil","Tem"
"Sea snakes",0.635364635364635,0.131885956624102,0.902462275054423,0.492792333508655,0.812337602391492,0.431818181818182,0.860105580693816,0.522023134865122,0.0378787878787879,0.709071315326739
"Hydrophiinae",0.635364635364635,0.144643172771991,0.879846547314578,0.659654093475603,0.981789972340517,0.431818181818182,0.962258329905389,0.637536289774155,0.051948051948052,0.252324379398526
"Laticaudinae",NA,0.761904761904762,1,0.266666666666667,NA,NA,NA,0.8,0.666666666666667,0.0930735930735931
"Aipysurus",0.2,0.445221445221445,0.8,0.533799533799534,0.8,0.666666666666667,1,1,NA,0.370382558617853
"Hydrophis ",0.609523809523809,0.346387545255079,0.860105580693816,1,0.82120356423762,0.904761904761905,0.943278943278943,0.891016258682819,0.114285714285714,0.723749346472457
"Emydocephalus",NA,1,NA,1,NA,NA,NA,1,1,0.666666666666667
"Laticauda",NA,0.761904761904762,1,0.266666666666667,NA,NA,NA,0.8,0.666666666666667,0.0930735930735931
"Microcephalophis",NA,1,NA,NA,NA,NA,NA,1,NA,1
"Ephalophis",NA,NA,NA,1,NA,NA,NA,1,NA,1
